contract_supplier_id,bought_amount,contract_date,has_insurance,is_terminated,material_id,no_money_penalty,price_per_unit,supplier_id,terminate_penalty,transport_type,transportation_cost,team_id
933,200,2021-12-27,0,0,6,0,15,10,1470,1,437850,174
934,200,2022-01-03,0,0,6,0,15,10,1470,1,437850,174
935,200,2022-01-10,0,0,6,0,15,10,1470,1,437850,174
936,200,2022-01-17,0,0,6,0,15,10,1470,1,437850,174
937,200,2022-01-24,0,0,6,0,10,10,1470,1,437850,174
938,200,2022-01-31,0,0,6,0,16,10,1470,1,437850,174
939,200,2022-02-07,0,0,6,0,15.2,10,1470,1,437850,174
940,200,2022-02-14,0,0,6,0,20.748,10,1470,1,437850,174
941,200,2022-02-21,0,0,6,0,22.3975,10,1470,1,437850,174
942,200,2022-02-28,0,0,6,0,28.2208,10,1470,1,437850,174
943,1600,2021-12-27,1,0,1,0,4,7,3136,2,126000,23
944,15000,2021-12-27,1,0,15,0,25,2,183750,0,2577750,159
945,1,2021-12-27,1,0,13,0,30,14,14.7,2,107940,277
946,1,2022-01-03,1,0,13,0,30,14,14.7,2,107940,277
947,1,2022-01-10,1,0,13,0,30,14,14.7,2,107940,277
948,1,2022-01-17,1,0,13,0,30,14,14.7,2,107940,277
949,1,2022-01-24,1,0,13,0,31.5,14,14.7,2,107940,277
950,1,2022-01-31,1,0,13,0,29.925,14,14.7,2,107940,277
951,1,2022-02-07,1,0,13,0,40.3988,14,14.7,2,107940,277
952,1,2022-02-14,1,0,13,0,28.2792,14,14.7,2,107940,277
953,1,2021-12-27,0,0,11,0,30,3,14.7,3,364800,70
954,1,2022-02-21,1,0,13,0,50.9026,14,14.7,2,107940,277
955,1,2022-02-28,1,0,13,0,43.2672,14,14.7,2,107940,277
956,6,2021-12-27,1,0,2,0,80,10,235.2,3,61740,146
957,6,2022-01-03,1,0,2,0,80,10,235.2,3,61740,146
958,100,2021-12-27,1,0,2,0,80,4,3920,3,162855,17
959,50,2021-12-27,1,0,2,0,80,4,1960,0,1218000,193
960,80000,2021-12-27,1,0,6,0,15,6,588000,3,108675,104
961,80000,2022-01-03,1,0,6,0,15,6,588000,3,108675,104
962,80000,2022-01-10,1,0,6,0,15,6,588000,3,108675,104
963,80000,2022-01-17,1,0,6,0,15,6,588000,3,108675,104
964,80000,2022-01-24,1,0,6,0,15.75,6,588000,3,108675,104
965,100,2021-12-27,0,0,15,0,25,1,1225,3,44100,43
966,600,2021-12-27,1,0,6,0,15,1,4410,2,143640,12
967,900,2021-12-27,1,0,10,0,24,4,10584,0,882000,215
968,900,2022-01-03,1,0,10,0,24,4,10584,0,882000,215
969,900,2022-01-10,1,0,10,0,24,4,10584,0,882000,215
970,900,2022-01-17,1,0,10,0,24,4,10584,0,882000,215
971,900,2022-01-24,1,0,10,0,39.6,4,10584,0,882000,215
972,900,2022-01-31,1,0,10,0,40,4,10584,0,882000,215
973,900,2022-02-07,1,1,10,0,NULL,4,10584,0,NULL,215
