contract_supplier_id,bought_amount,contract_date,has_insurance,is_terminated,material_id,no_money_penalty,price_per_unit,supplier_id,terminate_penalty,transport_type,transportation_cost,team_id
974,900,2022-02-14,1,1,10,0,NULL,4,10584,0,NULL,215
975,900,2022-02-21,1,1,10,0,NULL,4,10584,0,NULL,215
976,900,2022-02-28,1,1,10,0,NULL,4,10584,0,NULL,215
977,250000,2021-12-27,0,0,15,0,25,2,3062500,3,132000,108
978,5,2021-12-27,1,0,12,0,30,7,73.5,3,176715,146
979,5,2021-12-27,1,0,12,0,30,7,73.5,3,176715,146
980,5,2021-12-27,1,0,12,0,30,7,73.5,3,176715,146
981,256,2021-12-27,1,0,3,0,8,2,1003.52,3,76860,193
982,250000,2021-12-27,1,0,3,0,8,1,980000,1,74182.5,116
983,5,2021-12-27,1,0,12,0,30,7,73.5,3,176715,146
984,256,2021-12-27,1,0,3,0,8,2,1003.52,3,76860,193
985,256,2021-12-27,1,0,3,0,8,2,1003.52,3,76860,193
986,300,2021-12-27,1,0,11,0,30,8,4410,0,2252250,54
987,256,2021-12-27,1,0,3,0,8,2,1003.52,3,76860,193
988,256,2021-12-27,1,0,3,0,8,2,1003.52,3,76860,193
989,10000,2021-12-27,1,0,2,0,80,4,392000,0,1134000,26
990,256,2021-12-27,1,0,3,0,8,2,1003.52,3,76860,193
991,256,2021-12-27,1,0,3,0,8,2,1003.52,3,76860,193
992,10,2021-12-27,1,0,11,0,30,6,147,3,91665,25
993,1000,2021-12-27,1,0,8,0,21,3,10290,2,61320,69
994,20000,2021-12-27,0,0,14,0,20,2,196000,3,192600,186
995,40000,2021-12-27,1,0,6,0,15,3,294000,1,171990,65
996,40000,2022-01-03,1,0,6,0,15,3,294000,1,171990,65
997,50000,2021-12-27,1,0,5,0,20,1,490000,3,81270,259
998,4,2021-12-27,1,0,11,0,30,8,58.8,3,127260,146
999,4,2022-01-03,1,0,11,0,30,8,58.8,3,127260,146
1000,3000,2021-12-27,1,0,14,0,20,4,29400,1,127575,150
